train_loss,train_acc,val_loss,val_acc
0.7602991013442982,0.6936251189343483,0.6490268496847669,0.723563696919234
0.5825814538405806,0.7673644148430067,0.5626586881822144,0.7776852622814322
0.5232607639765989,0.7961465271170315,0.5203835331989168,0.8101582014987511
0.47863848435096124,0.8001902949571836,0.4473555567668523,0.8401332223147377
0.4753781667388586,0.8175547098001903,0.7049848102177567,0.7793505412156536
0.4383430829454217,0.8284966698382493,0.3178121635635468,0.880932556203164
0.4039446581385456,0.8430066603235015,0.27505004262360905,0.9017485428809325
0.38558847077197966,0.857278782112274,0.3847928637931229,0.8601165695253955
0.3768376573197168,0.856803044719315,0.30432748918619223,0.8867610324729392
0.3454447107781239,0.8677450047573739,0.24227096840448115,0.9092422980849293
0.33189978047170376,0.8739295908658421,0.3071929333013361,0.8859283930058285
0.3355283516429925,0.8736917221693625,0.1672756884765142,0.939217318900916
0.31511276372691543,0.8755946717411989,0.378679129106557,0.861781848459617
0.2952043934699527,0.8889153187440533,0.2441895891847143,0.9100749375520399
0.2836914107391343,0.8934348239771647,0.1829989944585831,0.9458784346378019
0.2811833850536088,0.8939105613701237,0.26508455522385366,0.9100749375520399
0.2541437392591806,0.9077069457659372,0.1992929552448235,0.9300582847626978
0.25374687329062273,0.9124643196955281,0.19289813186045887,0.939217318900916
0.25913614628714227,0.9039010466222646,0.3177648091495409,0.8984179850124896
0.258746426176815,0.903187440532826,0.2542411796034446,0.9192339716902581
0.2562767946640726,0.9091341579448144,0.1306464223316766,0.948376353039134
0.2141194688129663,0.9207897240723121,0.21225828165613797,0.9275603663613655
0.24721347890815545,0.909372026641294,0.16530798355754855,0.9417152373022482
0.23156848537791466,0.9129400570884872,0.12657643838487379,0.9542048293089093
0.2208768701611475,0.9181731684110371,0.1260289948582525,0.9608659450457951
0.2293224949770732,0.917221693625119,0.18695581700418457,0.9458784346378019
0.21736263351197702,0.9174595623215985,0.18161295923240775,0.948376353039134
0.2050023182542493,0.9234062797335871,0.15843481187717207,0.948376353039134
0.2322267413451261,0.9160323501427212,0.17626836579553334,0.9458784346378019
0.21002533723140307,0.9210275927687916,0.11321530070041082,0.9625312239800167
0.2119834975691266,0.9193625118934349,0.13212876171059665,0.9633638634471274
0.20113730431666382,0.9298287345385348,0.10832137830995893,0.9700249791840133
0.18755617794127946,0.9348239771646052,0.12146080789667255,0.9592006661115737
0.19054916530996419,0.9360133206470029,0.3703851216751074,0.8726061615320566
0.18404724054414243,0.928639391056137,0.09489923310336115,0.9683597002497919
0.1861570481845416,0.9336346336822074,0.12119524749143218,0.9608659450457951
0.1826952039880003,0.9348239771646052,0.10286024694240262,0.9675270607826811
0.19366626021098682,0.9355375832540438,0.17130085919948984,0.939217318900916
0.15455629102811289,0.9445765937202665,0.12691940042305797,0.9616985845129059
0.1852649013883125,0.9329210275927688,0.11562180422172012,0.9575353871773522
0.19985456258008924,0.9279257849666984,0.16309070764890696,0.9383846794338052
0.1855114715955407,0.9295908658420552,0.11111022099592009,0.9616985845129059
0.15615410092406393,0.9414843006660324,0.11324388029784282,0.9633638634471274
0.16804350666005297,0.9419600380589915,0.10983134231070314,0.9641965029142382
0.16761388625953166,0.9412464319695528,0.15021907462723721,0.9558701082431308
0.1663119402504947,0.9429115128449097,0.08348493996204187,0.9691923397169027
0.1641016512051168,0.9383920076117983,0.10817154581587976,0.965029142381349
0.16209923509653695,0.941722169362512,0.055966919645524395,0.9783513738551207
0.14738650724724234,0.9476688867745006,0.17683998368395787,0.9467110741049126
0.15990705690484008,0.9438629876308279,0.08135817209638649,0.9750208159866778
